Episode,Steps,Falling Position,Total Reward
868,0,-0.10529720783233643,-92.29458117485046
869,1,-0.16616171598434448,-102.92425739765167
870,0,-0.20835646986961365,-107.75347048044205
871,0,-0.23717272281646729,-112.07590842247009
872,0,-0.024347782135009766,-80.15216732025146
873,0,-0.2239019274711609,-110.08528912067413
874,0,0.020679771900177002,-73.39803421497345
875,0,0.002538919448852539,-76.11916208267212
876,0,-0.019584059715270996,-79.43760895729065
877,0,-0.3319511413574219,-126.29267120361328
878,1,0.10528779029846191,-62.20683145523071
879,1,0.814190149307251,44.12852239608765
880,0,-0.14223366975784302,-97.83505046367645
881,0,0.0009921789169311523,-76.35117316246033
882,1,0.692391037940979,25.85865569114685
883,1,0.03000277280807495,-73.49958407878876
884,0,0.07853126525878906,-64.72031021118164
885,1,-0.6607615351676941,-177.1142302751541
886,0,0.06754171848297119,-66.36874222755432
887,0,-0.18527346849441528,-104.29102027416229
888,0,-0.06450939178466797,-86.1764087677002
889,0,-0.3674662113189697,-131.61993169784546
890,0,-0.15191709995269775,-99.28756499290466
891,0,0.01581794023513794,-74.12730896472931
892,0,-0.0044062137603759766,-77.1609320640564
893,0,-0.17522460222244263,-102.7836903333664
894,1,0.6674479246139526,22.117188692092896
895,0,0.11518025398254395,-59.22296190261841
896,1,-0.12323498725891113,-96.48524808883667
897,1,0.91188645362854,58.782968044281006
898,1,-0.5037750601768494,-153.5662590265274
899,0,-0.2777612805366516,-118.16419208049774
900,0,-0.21725940704345703,-109.08891105651855
901,0,-0.20595353841781616,-107.39303076267242
902,0,-0.11412203311920166,-93.61830496788025
903,0,-0.1149137020111084,-93.73705530166626
904,1,0.13636517524719238,-57.54522371292114
905,0,-0.26783761382102966,-116.67564207315445
906,0,-0.027129054069519043,-80.56935811042786
907,0,0.19350498914718628,-47.47425162792206
908,0,0.10461795330047607,-60.80730700492859
909,0,-0.2568948566913605,-115.03422850370407
910,1,-0.07899707555770874,-89.84956133365631
911,2,0.8073511123657227,41.6026668548584
912,1,-0.31230032444000244,-124.84504866600037
