20000 epoche
RMSE 0000 0.131859590763
RMSE 0001 0.14054775838
RMSE 0002 0.10716254872
RMSE 0003 0.138771511131
RMSE 0004 0.174104145132
RMSE 0005 0.129174979292
RMSE 0006 0.128488570392
RMSE 0007 0.150959485451
RMSE 0008 0.136577278402
RMSE 0009 0.121226393516
RMSE 0010 0.205956424848
RMSE 0011 0.590333832158
RMSE 0012 1.02261605551
RMSE 0013 0.99522045887
RMSE 0014 0.945569762205
RMSE 0015 0.843859454448
RMSE 0016 1.10852292518
RMSE 0017 1.3446758931
